Nombre del Juego,Objetivo del juego,Objetivo Pedagógico,Reglas del Juego,Imagen representativa 
El robo del tesoro,Calentamiento ,"Estrategia, organización, trabajo en equipo","El curso se separa en dos grupos, cada uno con un color de pañuelo asignado para diferenciarlo. La idea del juego es robar el tesoro del otro equipo. A cada equipo se le asigna una mitad de cancha, dentro de esta mitad de cancha los miembros de un equipo pueden “pintar” o pillar a los del equipo contrario y así eliminarlos.  La zona del arco será delimitada por lentejas y dentro de ella se encontrará el tesoro del  respectivo equipo. Solo los miembros del equipo contrario pueden ingresara esa zona y no pueden ser pillados dentro de ella. Al estar dentro de la zona, el miembro del equipo rival deberá lograr, en primer lugar entrar, y luego salir llevándose solo una lenteja (del color de su equipo), completando un robo exitosamente. El primero en robar todas las lentejas gana.
Los jugadores eliminados se van al “calabozo” donde permanecen hasta que uno de sus compañeros los libere al tocarles la mano. El calabozo se encontrará a una esquina de la mitad de cancha del equipo rival. Esto ocurre contra el tiempo, tendrán 10 mintos para completar la misión.",
El tren ciego,Vuelta a la calma,"Comunicación, coordinación, trabajo en equipo","-Para realizar el juego es necesario dividir el grupo de participantes en 4 equipos.
-Los equipos ya formados se ubican en la línea de partida (línea del área de la cancha) en hilera tomados de los hombros y con los ojos vendados excepto el ultimo de la hilera (el maquinista) quien dará las indicaciones al equipo con su voz y quien llevara una lenteja hasta el otro extremo de la cancha.
-En un extremo de la cancha habran lentejas de color blanco* que tienen que ser transportadas al otro extremo, en ese habran lentejas de color negro* que tienen que ser trasladadas al otro extremo
-El equipo tiene que pasar por una serie de puntos de control puestos entre las áreas de la cancha demarcados con lentejas de un color similar al de su pañolin estos puntos de control pueden ser reubicados por el arbitro del juego cambiando los puntos de control de una forma similar para todos los equipos, de no pasar el equipo completo por los puntos de control reinicia desde la línea de la cancha en que inicio el maquinista, también el maquinista puede parar el tren para bajarse a ver por donde va.
-Cuando el equipo completo cruce la línea del otro extremo el equipo en el mismo orden se da vuelta para comenzar de nuevo, el primer integrante pasa al ultimo lugar dando las indicaciones así hasta completar el tiempo indicado
-Gana el equipo que haya logrado trasladar al otro extremo la mayor cantidad de lentejas E140en el tiempo dado para la actividad.",
Espejito rojo,Mimica,"Colaboración, atención, creatividad","El juego del espejito roto, es un juego de mimica donde habrán 2 equipos, el número de participantes por equipo dependerá de la cantidad total de alumnos que haya, pero siempre 2 equipos. Los equipos deberán formarse en hilera, la primera persona de cada equipo comenzará con un movimiento, su compañero de adelante deberá repetir el movimiento y añadir uno, así sucesivamente hasta llegar a la última persona que deberá repetir toda la secuencia de movimientos para poder ganar un punto, si hace el punto, él último compañero pasa a ser el primero y así con todos los participantes del equipo. El equipo que más puntos haga, gana.
Reglas:
- Los movimientos se pueden repetir máximo 2 veces solo frente a la última persona.
- Si alguno de los compañeros se equivoca al reptir los movimientos o se olvida de estos, se debe volver al inicio y repetir desde 0.
- Si los compañeros hacen trampa intentando ayudar a algún compañero y son atrapados, el equipo deberá empezar de 0 y hacer movimientos nuevos.",
Espera tu turno,Vuelta a la calma,"Atención, respetar turnos, paciancia","Se invita a los participantes a ubicarse en una circunferencia o ronda sentados en el piso, a una distancia en la que se puedan escuchar entre si. Se les indicara las reglas del juego, que en este caso son las siguientes: Tendrán un tiempo establecido (mínimo 2, máximo 10 minutos aprox) para llegar al objetivo.
El objetivo es llegar a un número, que en este caso, puede ser el número de participantes, por ejemplo 30.
Cada participante deberá decir un número en voz alta.
No sé puede repetir un número, en caso de que un número se repita, se volverá a empezar desde el comienzo, por ejemplo: 1! , 2! , 3!, 3! ERROR --> 1! , 2! , 3!, 4! …
El orden de los números debe ser secuencial, no se puede saltar números.
Escuchar atentamente todos los números que dicen los demás participantes, para estar atento y esperar el momento adecuado para tu turno.
Los turnos de los participantes no están establecidos, ellos deciden cuando participar.
Si alguno de tus compañeros vecinos más cercanos dijo un número, no puedes decir un número, hasta que otra persona que no esté a tu lado diga otro",
Francotiradores y escolta,Competencia,"Asignación de roles, estrategias, confianza","Se enfrentarán dos equipos de 7 u 8 personas, un equipo estará conformado por francotiradores, y el otro, por escoltas y un presidente. Los escoltas deben escoger un miembro del equipo para que sea la/el presidente, cuyo objetivo será cruzar de un extremo del campo de juego hacia el lado opuesto con los ojos tapados con un pañolín y en menos de 5 minutos mientras es guiado y protegido por sus escoltas. Los francotiradores deben ubicarse en los extremos del campo de juego e intentar acertarle con el balón al presidente. Si le aciertan a un escolta, este limita su movimiento sólo por los bordes del campo de juego y puede seguir bloqueando desde ahí sin mayor penalización. Si el presidente toca un balón o a uno de sus escoltas debe volver a empezar desde el inicio y los escoltas que hayan sido golpeados, pueden volver a moverse con normalidad y se les da la posibilidad de cambiar de presidente. Si, en cambio, logra cruzar el campo de juego sin tocar un balón o a los escoltas, otorga un punto a su equipo y pueden volver a empezar con un nuevo presidente si así lo desean. Una vez pasado 5 minutos ambos equipos deben invertir los roles y empezar una nueva ronda.",
Hand bolos,Competencia,"Coordinación oculo manual, colaboración, estrategias","● El juego se realiza preferentemente en una cancha de “futbolito”, aunque puede adaptarse a cualquier espacio al delimitar un área en cada lado.
● El curso se divide en 2 equipos con igual número de jugadores (idealmente entre 6 y 15 por lado). Cada participante debe colocarse un pañolín del color de su equipo en la cintura, este debe estar visible y ser fácil de quitar.
● Al iniciar, ambos equipos parten en sus respectivas mitades, separados por unos 5 pasos de la línea, y la pelota se coloca al centro de la cancha. Al dar la señal de inicio, los jugadores deben correr a tomar la pelota, dando por comenzado el juego.
● Se juega a través de pases con las manos. También se puede avanzar/correr con la pelota en la mano (a menos de que le quiten el pañolín al jugador).
● El objetivo principal del juego es derribar los tres bolos ubicados dentro del arco del equipo contrario, lanzando la pelota desde fuera del área rival. Si un jugador ingresa al área para lanzar, el punto se anula y la pelota pasa al otro equipo.
● Cada bolo derribado equivale a un punto, si se derriban varios en un mismo lanzamiento, se suman todos. Gana el equipo que tumbe los tres bolos rivales o que obtenga más puntos al término del tiempo (aproximadamente 10 minutos por ronda).
● Para defender, los jugadores pueden interceptar los lanzamientos y pases, o quitar el pañolín al contrincante (que tenga la pelota) y dejarlo en el suelo. Si un jugador pierde su pañolín, debe quedarse inmóvil por tres segundos, luego puede volver a colocárselo y reincorporarse al juego.
● No se puede quitar el pañolín a quien no tiene la pelota, ni arrancarla de las manos de un jugador. Si esto ocurre, se le entrega la pelota al equipo contrario para que pueda sacar.                              ● Si es que un equipo hace que la pelota salga de la cancha, el otro equipo debe sacar desde fuera.                                                                                                                                                                              ● Cada vez que se marca un punto, el otro equipo debe sacar desde su área, sin que otros interfieran en su lanzamiento.                                         ",
La granja,Vuelta a la calma,"Concentración, trabajo en equipo, comunicación no verbal","1. Cada pareja elige un animal (no se pueden repetir) y decide el sonido que lo 
representará. Tendrán un breve momento para practicarlo, asegurándose de 
hacerlo sin mostrar los dientes.
2. Todos los participantes se sientan formando un círculo, de manera que puedan 
verse entre sí.
3. El facilitador elige una pareja para comenzar. Esta realiza el sonido de su animal 
sin mostrar los dientes y luego “llama” a otra pareja siguiendo el guion: (sonido 
de su animal) llamando a (sonido del animal que quieren llamar). La pareja 
llamada debe responder con su sonido y continuar la secuencia llamando a otra.
4. Cualquier participante que muestre los dientes queda descalificado y debe salir de 
la ronda.
5. El juego continúa hasta que quede una sola pareja en competencia o hasta que se 
cumpla el tiempo establecido",
La pintura secreta,Mimica,"Colaboración, comunicación no verbal, creatividad","Se arman 4 equipos con igual cantidad de participantes, quienes se deben formar en una
hilera. El último integrante de cada hilera recibirá una figura o dibujo simple que deberá dibujar con el dedo en la espalda de la persona que tiene delante. Luego, dicha persona dibujará exactamente lo que percibió en la espalda del siguiente integrante, hasta que el dibujo llegue hasta la primera persona en la hilera, quien deberá decirle al oído al instructor qué cree que era el dibujo. En caso de adivinar correctamente, el equipo gana un punto. Todo esto debe llevarse a cabo sin hablar ni mirar hacia atrás en ningún momento, solamente puede hablar la primera persona en la hilera al adivinar el dibujo. Después de cada ronda, la última persona de la hilera pasa hacia adelante, para que todos pasen por los
distintos roles del juego.",
La águilas y los conejos,Calentamiento,"Percibir espacio mejorar medida, agilidad, rapidez","De un curso de aproximadamente 34 personas, se escogerán 4 individuos para ser “águilas”, todo el resto serán “conejos”. En una cancha se dispondrán aros ula-ula, como se muestra en el esquema, donde en cada aro pueden ubicarse 2 conejos como máximo, excepto en el centro, donde podrán estar 4 conejos como máximo. Para comenzar el juego todos los conejos deberán partir en los aros del exterior, mientras que las águilas en el del centro. Al dar la señal, todos los conejos deberán salir de los aros en los que se encuentran y entrar en algún otro (que debe estar a 3 o más aros de distancia). Durante el tiempo que los conejos no estén dentro de ningún aro, las águilas pueden “pintar” a los conejos. Si un águila pinta a un conejo, estos deben intercambiar roles, el conejo es una nueva águila y el águila debe jugar como conejo desde ahí en adelante.",
Navidad al rescate,Compentencia,"Trabajo en equipo, estrategia, velocidad","Se divide a los participantes en dos equipos, los duendes y los Grinch. Estos serán diferenciados por el color del pañuelo que llevaran a un costado del pantalón. (Grinch azules y celestes, duendes rojos y rosados). En el centro de la zona de juego habrá un área circular con lentejas dentro, que será la fábrica de regalos (la zona es la fabrica y las lentejas los regalos). En los bordes de la zona de juego habrán aros que serán las casas de los niños. El objetivo de los duendes es llevar los regalos a las casas de los niños y el de los grinch impedirlo congelando a los duendes (tocándolos). Para esto, las reglas son las siguientes:
1. Dentro de la fábrica no se puede congelar a los duendes.
2. Para congelar a alguien, se le tiene que quitar el pañuelo y dejarlo en el suelo.
3. Cuando es congelado un duende, si este llevaba un regalo, debe de pasárselo al grinch y este lo devolverá a la fábrica.
4. Una vez fuiste congelado, debes mantenerte quieto junto a tu pañuelo.
5. Para poder ser descongelado, te debe tocar un compañero de tu equipo. Luego vuelves a ponerte el pañuelo y sigues jugando.
6. No se puede quitar el regalo (la lenteja) de las manos. De ser sorprendido a un grinch haciendo esto, deberá devolver la lenteja al duende y este tendrá inmunidad absoluta para poder dejar el regalo en una casa sin ser congelado por nadie.
7. Los regalos que ya están en la casa (aro), no pueden ser removidos por los grinch.
8. Es un regalo por casa, es decir, una lenteja por aro, nada más. (abierto a variantes)                                                                                                                                                                                                      9. Solo se puede llevar un regalo a la vez.                                                                                                                                                                                                                                                                                   10. El juego termina cuando todos los regalos hayan sido entregados a una casa, cuando se acabe el tiempo o cuando todos los duendes hayan sido congelados. Por ende, los duendes ganan (1 punto) cuando logren entregar todos los regalos a las casas. Los grinch ganan (1 punto) cuando se acaba el tiempo (5 minutos) y los duendes no lograron entregar todos los regalos o por defecto, cuando congelan a todos los duendes y estos no pueden seguir entregando regalos. *dentro de la fábrica habrá la cantidad justa de regalos por casa*                                                                                                                                                                                                        ",
Pinta colores,Calentamiento,"Poner atención, reacción, estrategias","Rango de personas ideal: de 20 a 40 personas.
Se crean cuatro equipos. Se trabaja en una cancha de futbol. A cada equipo se le asigna un peto de un color. El director del juego gritará un color cada 45 segundos. El equipo de ese color deberá pintar al resto de equipos. Se pinta tocando a la persona. Si una persona es quemada deberá permanecer en el lugar. Gana el primer equipo que logre quemar a todas las personas en el lapso de tiempo.",
Policias y ladrones,Competencia,"Trabajo en equipo, cooperación, desarrollo coordinación motora, agilidad","El juego comienza con todos los participantes reunidos en el centro de la cancha, el monitor divide al grupo en dos equipos: policías y ladrones, procurando que ambos tengan una cantidad equilibrada de jugadores. Estos equipos se distinguirán por el color del pañolin que estén ocupando. Se delimita una zona dentro del espacio de juego llamada “Carcel”, en este caso, corresponderá a el área de la cancha de futbolito, donde los policías llevarán a los ladrones capturados. Los ladrones se ubican en distintos puntos del terreno mientras que los policías permanecen en su base esperando la señal de inicio. A la señal de inicio, los policías deben perseguir y atrapar a los ladrones tocándolos con la mano, cada vez que un ladrón es tocado, el policía debe llevarlo inmediatamente a la zona de cárcel y el ladrón debe permanecer ahí hasta que otro ladrón lo libere tocando la cárcel sin ser atrapado. El juego continua hasta que todos los ladrones han sido atrapados, o bien hasta que se cumpla el tiempo establecido (15 minutos) Los policías no pueden quedarse dentro de la cárcel, deben estar en todo momento fuera. El equipo ganador será el que logre atrapar a todos los contrarios, o que, al cumplirse el tiempo, tenga mas jugadores libres fuera de la cárcel.",
Quien fue a melipilla perdió su silla,Calentamiento,"Velocidad, agilidad, reacción","Los participantes se colocan en círculo mirando hacia adentro. Se designa un gato y un 
ratón que se colocan en el centro del círculo. Los participantes alrededor se colocan a una 
distancia adecuada entre sí con las piernas separadas. El juego consiste en que el gato debe 
perseguir al ratón, el cual debe escapar y librarse pasando por debajo de las piernas de los 
compañeros que están en el círculo. En ese momento, el gato se convierte en ratón y la 
persona por la que pasó debajo el ratón, ahora es el nuevo gato y debe perseguir al nuevo 
ratón. El ratón anterior pasa a ocupar el lugar del compañero que ahora es ratón, El ratón 
puede escapar del gato por dentro o alrededor del círculo.
Si el gato llegase a pillar al ratón, se intercambian los roles y ahora el que era ratón pasa a 
perseguir el que era gato.",
Reacción relámpago,Compentencia,"Velocida de reacción, cooperación, atención","El lugar debe una ser Cancha, gimnasio o patio amplio y libre de obstáculos.

Juego – Reacción a colores (en parejas) Los alumnos se agrupan en parejas y se ubican uno frente al otro formando dos filas paralelas mirandose, cada pareja tendrá dos lentejas distintos colores (por ejemplo, rojo y verde).
Durante el juego, cada pareja debe intercambiar las lentejas constantemente con sus manos mientras esperan la señal del profesor.
Cuando el profesor nombra un color, el alumno que tenga la lenteja de ese color debe reaccionar rápidamente y correr hasta la línea de escape ubicada a unos 6 metros detrás de él.
El compañero debe reaccionar al mismo tiempo e intentar alcanzarlo antes de que cruce la línea.
· Cantidad de participantes: todos los alumnos, en parejas.
· Cómo se hace un punto: gana un punto el jugador que logra llegar primero a la línea o atrapar al compañero antes de que cruce.
· Penalizaciones: si un jugador sale antes de la señal, pierde automáticamente la ronda.
Tambien pierde si confunde su rol y hace lo contrario (correr en vez de atrapar o viceversa",
Robots limpiadores,Calentamiento,"Estrategia, comunicación, velocidad","Previo al comienzo del juego, se disponen las dos cuerdas paralelas a 2 metros entre sí. Se esparcen todas las lentejas entre ellas y se coloca un hula hula en un extremo de cada cuerda.
El curso se divide en dos equipos y cada uno se forma en hilera en los extremos de cuerda que quedan libres. Los jugadores son Robots de limpieza. Las cuerdas son Cables eléctricos y dividen el espacio en tres zonas: la Zona de basura en medio y las Zonas de equipos a los costados. Las lentejas son Piezas de basura y los hula hulas son Basureros, pertenecientes al equipo del extremo opuesto.
Objetivo general:
El primer jugador de cada hilera debe salir, recoger una pieza de basura, dejarla en el basurero de su equipo y devolverse. El obstáculo es que, como los robots necesitan electricidad, deben estar tocando el cable cuando levanten la basura. Cuando un jugador llega de vuelta a la hilera, se ubica al final y sale el siguiente. Esto se repite hasta que no quede basura por recoger. El equipo que recoja más basura será el ganador.
Reglas:
- Sólo puede salir un jugador a la vez.
- Sólo se puede levantar una lenteja a la vez, y no se puede mover ninguna otra
- Al levantar la lenteja se debe estar tocando la cuerda. Una vez recogida ya no es necesario.
- No se puede cruzar a la zona del equipo enemigo.
Al romper cualquiera de estas reglas, el jugador suelta su lenteja (si tiene) y se devuelve al comienzo de la hilera.",
Zona fútbol,Competencia,"Entender diferentes pocisiones y roles, cooperación, pases con mayor precisión","El juego consiste en una dinámica basada en el fútbol. Para su desarrollo, la cancha se divide en 9 zonas (3 zonas defensivas, 3 de mediocampo y 3 de ataque). En cada zona participan dos jugadores de equipos distintos. Por lo que, se forman equipos de 9 personas, y dos equipos se sitúan en una cancha de fútbol completa. En cada equipo, 3 jugadores cumplirán el rol de defensores, 3 serán mediocampistas y los 3 restantes serán atacantes. Los participantes deben jugar únicamente dentro de su zona, sin poder salir de ella. El objetivo del equipo es marcar la mayor cantidad de goles posibles o meter el balon en la red del equipo contrario. Gana el equipo que anote más goles al finalizar el tiempo establecido.
Consideraciones importantes:
Solo los atacantes pueden hacer goles.
No hay arquero.
Se juega sin usar los brazos.
Cada vez que un equipo marca un gol, o cada 5 minutos, los jugadores rotan de posición (defensores pasan a mediocampistas, mediocampistas a atacantes, y atacantes  defensores).
Para que un gol sea válido, el balon debe haber sido tocado al menos una vez en cada zona del campo.
Si el balón sale de la cancha o se comete mano, saca el equipo contrario desde la zona de defensa.",
